Cores,Iterations,Regularization Parameter,MSE,Seconds,,,,,,
2,1,0.01,5.042519757,61.71325612,,Regularization Parameter,1 iteration,5 iterations,10 iterations,20 iterations
2,1,0.1,12.39266961,48.10648584,,0.01,5.042519757,0.2200999,0.109679368,0.069709443
2,1,1,14.27394859,46.42645192,,0.1,12.39266961,0.161727553,0.140493485,0.134472495
2,1,10,14.29075234,46.78646493,,1,14.27394859,1.617898391,1.602579749,1.602577207
2,5,0.01,0.2200999,54.95641685,,10,14.29075234,14.290772,14.290772,14.290772
2,5,0.1,0.161727553,53.70208478,,,,,,
2,5,1,1.617898391,53.71659112,,,,,,
2,5,10,14.290772,55.11007714,,,,,,
2,10,0.01,0.109679368,64.20763111,,,,,,
2,10,0.1,0.140493485,62.67125297,,,,,,
2,10,1,1.602579749,62.72136807,,,,,,
2,10,10,14.290772,61.39159608,,,,,,
2,20,0.01,0.069709443,79.26573491,,,,,,
2,20,0.1,0.134472495,81.0730288,,,,,,
2,20,1,1.602577207,79.64165401,,,1 iteration,5 iterations,10 iterations,20 iterations
2,20,10,14.290772,80.06517696,,2 cores,61.71325612,54.95641685,64.20763111,79.26573491
4,1,0.01,4.547987407,67.93531299,,4 cores,67.93531299,57.0507381,58.472543,68.41610503
4,1,0.1,12.31977262,54.21827507,,8 cores,55.98182797,48.67390203,48.41924787,54.54328299
4,1,1,14.27356347,52.99620104,,12 cores,54.70822001,48.60392809,52.082196,61.34146214
4,1,10,14.29074881,53.13752794,,16 cores,30.40449691,23.99890208,25.30134892,29.61005497
4,5,0.01,0.202747648,57.0507381,,,,,,
4,5,0.1,0.165808553,57.35442495,,,,,,
4,5,1,1.616374327,56.81153488,,,,,,
4,5,10,14.290772,56.54360223,,,,,,
4,10,0.01,0.108582068,58.472543,,,,,,
4,10,0.1,0.14178388,59.21230721,,,,,,
4,10,1,1.602578036,59.0457809,,,,,,
4,10,10,14.290772,61.10476899,,,,,,
4,20,0.01,0.071136505,68.41610503,,,,,,
4,20,0.1,0.13430087,68.45116687,,,0.01,0.1,1,10
4,20,1,1.602577209,68.57002211,,1 iteration,5.042519757,12.39266961,14.27394859,14.29075234
4,20,10,14.290772,67.31107092,,5 iterations,0.2200999,0.161727553,1.617898391,14.290772
8,1,0.01,4.105113389,55.98182797,,10 iterations,0.109679368,0.140493485,1.602579749,14.290772
8,1,0.1,12.58098925,46.09310889,,20 iterations,0.069709443,0.134472495,1.602577207,14.290772
8,1,1,14.27433135,44.50952315,,,,,,
8,1,10,14.29075192,44.48274612,,,,,,
8,5,0.01,0.190161743,48.67390203,,,,,,
8,5,0.1,0.156657821,47.264467,,,,,,
8,5,1,1.619293047,46.0143261,,,,,,
8,5,10,14.290772,46.75296998,,,,,,
8,10,0.01,0.110434827,48.41924787,,,,,,
8,10,0.1,0.139461099,49.29201102,,,,,,
8,10,1,1.602571657,49.00343513,,,,,,
8,10,10,14.290772,49.28860998,,,,,,
8,20,0.01,0.071131374,54.54328299,,,,,,
8,20,0.1,0.135094857,55.41082692,,,,,,
8,20,1,1.602577195,54.91408706,,,,,,
8,20,10,14.290772,56.14470911,,,,,,
12,1,0.01,4.835206586,54.70822001,,,,,,
12,1,0.1,12.30227748,45.95418596,,,,,,
12,1,1,14.27507226,46.60274911,,,,,,
12,1,10,14.29075297,45.32838798,,,,,,
12,5,0.01,0.193595918,48.60392809,,,,,,
12,5,0.1,0.154017859,135.325211,,,,,,
12,5,1,1.630120304,49.50135517,,,,,,
12,5,10,14.290772,48.26100898,,,,,,
12,10,0.01,0.10088516,52.082196,,,,,,
12,10,0.1,0.139194219,53.23495197,,,,,,
12,10,1,1.602572463,51.96948719,,,,,,
12,10,10,14.290772,51.96312881,,,,,,
12,20,0.01,0.070074649,61.34146214,,,,,,
12,20,0.1,0.134630899,59.27772689,,,,,,
12,20,1,1.602577202,62.35635495,,,,,,
12,20,10,14.290772,61.51438117,,,,,,
16,1,0.01,3.523440769,30.40449691,,,,,,
16,1,0.1,12.59822872,22.20457506,,,,,,
16,1,1,14.27526674,22.25068688,,,,,,
16,1,10,14.29075248,21.63898587,,,,,,
16,5,0.01,0.213481807,23.99890208,,,,,,
16,5,0.1,0.162667352,24.42136908,,,,,,
16,5,1,1.626144253,23.45169902,,,,,,
16,5,10,14.290772,23.79128695,,,,,,
16,10,0.01,0.101080372,25.30134892,,,,,,
16,10,0.1,0.140059831,24.63488698,,,,,,
16,10,1,1.602581302,108.179738,,,,,,
16,10,10,14.290772,25.94887614,,,,,,
16,20,0.01,0.070861081,29.61005497,,,,,,
16,20,0.1,0.136389843,30.34110498,,,,,,
16,20,1,1.6025772,30.26504397,,,,,,
16,20,10,14.290772,28.27032399,,,,,,
